Sample,Grouping,Order,Yeast,Bacteria,Preservative,number,random,new number,Weight,number of flies,absorbance,TAG,volume homogenized,volume assayed,dilution,TAG_homogenate,TAG_mg
S4707 D Cv 1,S4707 D Cv,K,S4707,Cv,D,1,0.987306402,39,6.8,5,0.5102,0.70102597,125,3,41.66666667,29.20941541,4.295502266
S4707 D Cv 2,S4707 D Cv,K,S4707,Cv,D,2,0.295465924,14,7.3,5,0.6088,0.859089452,125,3,41.66666667,35.79539382,4.903478606
S4707 D Cv 3,S4707 D Cv,K,S4707,Cv,D,3,0.787082219,30,7.5,5,0.469,0.63497916,125,3,41.66666667,26.457465,3.527662
S4707 D Cv 4,S4707 D Cv,K,S4707,Cv,D,4,0.10027346,7,7.4,5,0.4791,0.651170247,125,3,41.66666667,27.13209362,3.666499138
S4707 D Cv 5,S4707 D Cv,K,S4707,Cv,D,5,0.610735638,23,7.2,5,0.4585,0.618146842,125,3,41.66666667,25.75611841,3.577238669
S4707 D Cv 6,S4707 D Cv,K,S4707,Cv,D,6,0.872863543,34,7.3,5,0.3081,0.377043924,125,3,41.66666667,15.71016351,2.152077194
S4707 D Cv 7,S4707 D Cv,K,S4707,Cv,D,7,0.987602815,40,7.1,5,0.5611,0.782622635,125,3,41.66666667,32.60927648,4.592855842
S4707 D Cv 8,S4707 D Cv,K,S4707,Cv,D,8,0.507493746,17,7.4,5,0.6324,0.89692209,125,3,41.66666667,37.37175377,5.050236996
S4707 D Cv 9,S4707 D Cv,K,S4707,Cv,D,9,0.758248899,27,7,5,0.4782,0.649727477,125,3,41.66666667,27.0719782,3.867425457
S4707 D Cv 10,S4707 D Cv,K,S4707,Cv,D,10,0.025422022,3,8,5,0.4291,0.571016351,125,3,41.66666667,23.79234797,2.974043497
S4707 D Ax 1,S4707 D Ax,E,S4707,Ax,D,11,0.573491886,21,7,5,0.5353,0.741263225,125,3,41.66666667,30.88596772,4.412281104
S4707 D Ax 2,S4707 D Ax,E,S4707,Ax,D,12,0.24000503,12,7.5,5,0.4685,0.634177621,125,3,41.66666667,26.42406754,3.523209006
S4707 D Ax 3,S4707 D Ax,E,S4707,Ax,D,13,0.035258446,4,7.8,5,0.502,0.687880731,125,3,41.66666667,28.66169713,3.674576555
S4707 D Ax 4,S4707 D Ax,E,S4707,Ax,D,14,0.916268886,36,7.2,5,0.5947,0.836486053,125,3,41.66666667,34.85358555,4.840775771
S4707 D Ax 5,S4707 D Ax,E,S4707,Ax,D,15,0.578444412,22,7.7,5,0.2389,0.266110933,125,3,41.66666667,11.08795554,1.439994226
S4707 D Ax 6,S4707 D Ax,E,S4707,Ax,D,16,0.809973504,31,7,5,0.4721,0.639948702,125,3,41.66666667,26.66452923,3.809218461
S4707 D Ax 7,S4707 D Ax,E,S4707,Ax,D,17,0.765378655,29,7.2,5,0.468,0.633376082,125,3,41.66666667,26.39067009,3.665370845
S4707 D Ax 8,S4707 D Ax,E,S4707,Ax,D,18,0.569026994,20,6.9,5,0.6004,0.845623597,125,3,41.66666667,35.23431655,5.106422689
S4707 D Ax 9,S4707 D Ax,E,S4707,Ax,D,19,0.752518262,26,7.5,5,0.246,0.277492786,125,3,41.66666667,11.56219942,1.54162659
S4707 D Ax 10,S4707 D Ax,E,S4707,Ax,D,20,0.632713568,24,7.3,5,0.5408,0.750080154,125,3,41.66666667,31.25333975,4.281279417
SR03010 D Cv 1,SR03010 D Cv,L,SR03010,Cv,D,21,0.823320732,32,7.4,5,0.5462,0.758736775,125,3,41.66666667,31.61403228,4.272166524
SR03010 D Cv 2,SR03010 D Cv,L,SR03010,Cv,D,22,0.868647218,33,7.5,5,0.5873,0.824623277,125,3,41.66666667,34.3593032,4.581240426
